element,id,amenity,operator,brand,cash_in,opening_hours,target,cafe_300,restaurant_300,pharmacy_300,shop_300,bus_stop_300,cafe_500,restaurant_500,pharmacy_500,shop_500,bus_stop_500,poi_sum_300,poi_sum_500
node,2656349128.0,atm,Райффайзен,Райффайзен,,,1,5,1,4,5,2,5,1,5,5,4,17,20
node,2668254704.0,atm,Сбербанк,Сбербанк,,,1,0,0,0,0,1,0,0,0,0,4,1,4
node,2726545299.0,atm,Сбербанк,Сбербанк,,,1,1,3,0,5,0,8,13,4,11,3,9,39
node,2738945228.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,1,0,0,0,4,1,0,0,0,14,5,15
node,2748288141.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,4,0,0,0,2,6,3,0,1,8,6,18
node,2788217118.0,atm,"АО ""ГУТА-БАНК""",,,24/7,1,11,7,0,1,0,17,11,0,2,0,19,30
node,2808972049.0,atm,ПАО Сбербанк,Сбербанк,,,1,3,2,0,0,2,15,8,0,2,6,7,31
node,2840190384.0,atm,АО «ТБанк»,Т-Банк,yes,,1,0,0,0,1,2,1,1,0,3,7,3,12
node,2851581007.0,atm,ПАО Сбербанк,Сбербанк,,,1,2,0,3,1,3,2,0,3,2,9,9,16
node,2858384601.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,,1,1,0,1,1,1,1,1,2,1,4,4,9
node,2865071631.0,atm,"АО ""Альфа-Банк""",Альфа-Банк,,,1,3,2,0,0,1,7,5,1,0,4,6,17
node,2870319823.0,atm,"АО ""Райффайзенбанк""",Райффайзен,yes,,1,6,8,0,3,0,12,12,0,5,0,17,29
node,2876845174.0,atm,,,,,1,0,0,1,2,2,1,0,1,3,4,5,9
node,2898527938.0,atm,ПАО Сбербанк,Сбербанк,,24/7,1,5,1,1,1,0,13,5,1,2,0,8,21
node,2940982952.0,atm,ПАО Сбербанк,Сбербанк,,,1,6,1,1,0,0,9,2,1,4,2,8,18
node,2940986237.0,atm,"Банк ""ВБРР"" (АО)",ВБРР,,,1,1,2,1,1,0,11,7,1,3,2,5,24
node,2948222054.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,,1,3,0,1,0,1,3,0,1,0,3,5,7
node,2953468321.0,atm,Сбербанк,Сбербанк,,,1,17,4,2,2,2,25,12,4,4,3,27,48
node,2953468322.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,19,4,2,2,2,26,8,5,4,5,29,48
node,2954365700.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,0,0,2,3,0,0,0,4,4,4,5,12
node,2964580833.0,atm,"АО ""Кредит Европа Банк (Россия)""",,,,1,1,0,1,1,0,1,0,1,1,3,3,6
node,2969901034.0,atm,Банк ВТБ (ПАО),ВТБ,,24/7,1,4,5,5,4,2,7,6,10,9,5,20,37
node,2979638464.0,atm,ПАО Сбербанк,Сбербанк,,,1,23,8,1,5,3,29,12,2,6,6,40,55
node,3006586609.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,,1,0,0,0,0,0,1,1,1,0,0,0,3
node,3007434081.0,atm,"АО ""НС Банк""",,,24/7,1,0,1,0,0,0,1,4,1,0,2,1,8
node,3007434083.0,atm,"АО ""НС Банк""",,,24/7,1,1,1,0,0,1,1,5,0,1,4,3,11
node,3027297190.0,atm,"АО ""Банк Русский Стандарт""",Русский Стандарт,,24/7,1,1,2,2,8,0,1,3,6,9,5,13,24
node,3043881936.0,atm,"ПАО ""Промсвязьбанк""",Промсвязьбанк,,,1,0,0,1,1,1,1,7,1,1,4,3,14
node,3053223974.0,atm,ПАО Сбербанк,Сбербанк,,24/7,1,5,1,1,1,3,5,2,3,3,3,11,16
node,3071819224.0,atm,ПАО Сбербанк,Сбербанк,,,1,1,1,5,2,4,3,4,7,4,7,13,25
node,3071821064.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,2,2,4,3,4,5,3,7,6,9,15,30
node,3072553204.0,atm,ПАО Сбербанк,Сбербанк,yes,24/7,1,2,1,0,0,2,8,1,2,6,2,5,19
node,3076430202.0,atm,"АО ""Райффайзенбанк""",Райффайзен,,24/7,1,4,0,1,4,3,19,5,9,10,9,12,52
node,3094540596.0,atm,Уралсиб,Уралсиб,,24/7,1,5,1,4,7,2,11,4,10,12,6,19,43
node,3114745424.0,atm,Банк ВТБ (ПАО),ВТБ,,,1,3,4,0,2,1,6,9,1,2,2,10,20
